"Anchors","Ordering","Conditional","APIS"
"ldaddl","release","no","atomic64_add_return_release|atomic64_dec_return_release|atomic64_fetch_add_release|atomic64_fetch_dec_release|atomic64_fetch_inc_release|atomic64_fetch_sub_release|atomic64_inc_return_release|atomic64_sub_return_release|atomic_add_return_release|atomic_fetch_add_release|atomic_fetch_dec_release|atomic_fetch_inc_release|atomic_fetch_sub_release|atomic_inc_return_release|atomic_long_add_return_release|atomic_long_dec_return_release|atomic_long_fetch_add_release|atomic_long_fetch_dec_release|atomic_long_fetch_inc_release|atomic_long_fetch_sub_release|atomic_long_inc_return_release|atomic_long_sub_return_release|refcount_dec|refcount_dec_and_test|refcount_sub_and_test"
"ldclrl","release","no","atomic64_fetch_and_release|atomic64_fetch_andnot_release|atomic_fetch_and_release|atomic_fetch_andnot_release|atomic_long_fetch_and_release|atomic_long_fetch_andnot_release"
"ldeorl","release","no","atomic64_fetch_xor_release|atomic_fetch_xor_release|atomic_long_fetch_xor_release"
"ldsetl","release","no","atomic64_fetch_or_release|atomic_fetch_or_release|atomic_long_fetch_or_release"
"ldxr + stlxr","release","yes","atomic64_add_return_release|atomic64_cmpxchg_release|atomic64_fetch_add_release|atomic64_fetch_and_release|atomic64_fetch_andnot_release|atomic64_fetch_or_release|atomic64_fetch_sub_release|atomic64_fetch_xor_release|atomic64_sub_return_release|atomic64_try_cmpxchg_release|atomic64_xchg_release|atomic_add_return_release|atomic_cmpxchg_release|atomic_fetch_add_release|atomic_fetch_and_release|atomic_fetch_andnot_release|atomic_fetch_or_release|atomic_fetch_sub_release|atomic_fetch_xor_release|atomic_long_cmpxchg_release|atomic_long_try_cmpxchg_release|atomic_long_xchg_release|atomic_sub_return_release|atomic_try_cmpxchg_release|atomic_xchg_release|cmpxchg_release|xchg_release"
"stlr","release","no","atomic64_set_release|atomic_long_set_release|atomic_set_release|smp_store_release"
"dmb ishst","store","no","sfence|smp_wmb"
"dmb oshst","store","no","dma_wmb"
"b","non","no","atomic64_add|atomic64_add_negative|atomic64_add_return|atomic64_add_return_acquire|atomic64_add_return_relaxed|atomic64_add_return_release|atomic64_add_unless|atomic64_and|atomic64_andnot|atomic64_cmpxchg|atomic64_cmpxchg_acquire|atomic64_cmpxchg_relaxed|atomic64_cmpxchg_release|atomic64_dec|atomic64_dec_and_test|atomic64_dec_return|atomic64_dec_return_acquire|atomic64_dec_return_relaxed|atomic64_dec_return_release|atomic64_dec_unless_positive|atomic64_fetch_add|atomic64_fetch_add_acquire|atomic64_fetch_add_relaxed|atomic64_fetch_add_release|atomic64_fetch_and|atomic64_fetch_and_acquire|atomic64_fetch_and_relaxed|atomic64_fetch_and_release|atomic64_fetch_andnot|atomic64_fetch_andnot_acquire|atomic64_fetch_andnot_relaxed|atomic64_fetch_andnot_release|atomic64_fetch_dec|atomic64_fetch_dec_acquire|atomic64_fetch_dec_relaxed|atomic64_fetch_dec_release|atomic64_fetch_inc|atomic64_fetch_inc_acquire|atomic64_fetch_inc_relaxed|atomic64_fetch_inc_release|atomic64_fetch_or|atomic64_fetch_or_acquire|atomic64_fetch_or_relaxed|atomic64_fetch_or_release|atomic64_fetch_sub|atomic64_fetch_sub_acquire|atomic64_fetch_sub_relaxed|atomic64_fetch_sub_release|atomic64_fetch_xor|atomic64_fetch_xor_acquire|atomic64_fetch_xor_relaxed|atomic64_fetch_xor_release|atomic64_inc|atomic64_inc_and_test|atomic64_inc_not_zero|atomic64_inc_return|atomic64_inc_return_acquire|atomic64_inc_return_relaxed|atomic64_inc_return_release|atomic64_inc_unless_negative|atomic64_or|atomic64_sub|atomic64_sub_and_test|atomic64_sub_return|atomic64_sub_return_acquire|atomic64_sub_return_relaxed|atomic64_sub_return_release|atomic64_try_cmpxchg|atomic64_try_cmpxchg_acquire|atomic64_try_cmpxchg_relaxed|atomic64_try_cmpxchg_release|atomic64_xor|atomic_add|atomic_add_negative|atomic_add_return|atomic_add_return_acquire|atomic_add_return_relaxed|atomic_add_return_release|atomic_add_unless|atomic_and|atomic_andnot|atomic_cmpxchg|atomic_cmpxchg_acquire|atomic_cmpxchg_relaxed|atomic_cmpxchg_release|atomic_dec|atomic_dec_and_test|atomic_dec_return|atomic_dec_return_acquire|atomic_dec_return_relaxed|atomic_dec_return_release|atomic_dec_unless_positive|atomic_fetch_add|atomic_fetch_add_acquire|atomic_fetch_add_relaxed|atomic_fetch_add_release|atomic_fetch_and|atomic_fetch_and_acquire|atomic_fetch_and_relaxed|atomic_fetch_and_release|atomic_fetch_andnot|atomic_fetch_andnot_acquire|atomic_fetch_andnot_relaxed|atomic_fetch_andnot_release|atomic_fetch_dec|atomic_fetch_dec_acquire|atomic_fetch_dec_relaxed|atomic_fetch_dec_release|atomic_fetch_inc|atomic_fetch_inc_acquire|atomic_fetch_inc_relaxed|atomic_fetch_inc_release|atomic_fetch_or|atomic_fetch_or_acquire|atomic_fetch_or_relaxed|atomic_fetch_or_release|atomic_fetch_sub|atomic_fetch_sub_acquire|atomic_fetch_sub_relaxed|atomic_fetch_sub_release|atomic_fetch_xor|atomic_fetch_xor_acquire|atomic_fetch_xor_relaxed|atomic_fetch_xor_release|atomic_inc|atomic_inc_and_test|atomic_inc_not_zero|atomic_inc_return|atomic_inc_return_acquire|atomic_inc_return_relaxed|atomic_inc_return_release|atomic_inc_unless_negative|atomic_long_add|atomic_long_add_negative|atomic_long_add_return|atomic_long_add_return_acquire|atomic_long_add_return_relaxed|atomic_long_add_return_release|atomic_long_add_unless|atomic_long_and|atomic_long_andnot|atomic_long_cmpxchg|atomic_long_cmpxchg_acquire|atomic_long_cmpxchg_relaxed|atomic_long_cmpxchg_release|atomic_long_dec|atomic_long_dec_and_test|atomic_long_dec_return|atomic_long_dec_return_acquire|atomic_long_dec_return_relaxed|atomic_long_dec_return_release|atomic_long_dec_unless_positive|atomic_long_fetch_add|atomic_long_fetch_add_acquire|atomic_long_fetch_add_relaxed|atomic_long_fetch_add_release|atomic_long_fetch_and|atomic_long_fetch_and_acquire|atomic_long_fetch_and_relaxed|atomic_long_fetch_and_release|atomic_long_fetch_andnot|atomic_long_fetch_andnot_acquire|atomic_long_fetch_andnot_relaxed|atomic_long_fetch_andnot_release|atomic_long_fetch_dec|atomic_long_fetch_dec_acquire|atomic_long_fetch_dec_relaxed|atomic_long_fetch_dec_release|atomic_long_fetch_inc|atomic_long_fetch_inc_acquire|atomic_long_fetch_inc_relaxed|atomic_long_fetch_inc_release|atomic_long_fetch_or|atomic_long_fetch_or_acquire|atomic_long_fetch_or_relaxed|atomic_long_fetch_or_release|atomic_long_fetch_sub|atomic_long_fetch_sub_acquire|atomic_long_fetch_sub_relaxed|atomic_long_fetch_sub_release|atomic_long_fetch_xor|atomic_long_fetch_xor_acquire|atomic_long_fetch_xor_relaxed|atomic_long_fetch_xor_release|atomic_long_inc|atomic_long_inc_and_test|atomic_long_inc_not_zero|atomic_long_inc_return|atomic_long_inc_return_acquire|atomic_long_inc_return_relaxed|atomic_long_inc_return_release|atomic_long_inc_unless_negative|atomic_long_or|atomic_long_sub|atomic_long_sub_and_test|atomic_long_sub_return|atomic_long_sub_return_acquire|atomic_long_sub_return_relaxed|atomic_long_sub_return_release|atomic_long_try_cmpxchg|atomic_long_try_cmpxchg_acquire|atomic_long_try_cmpxchg_relaxed|atomic_long_try_cmpxchg_release|atomic_long_xor|atomic_or|atomic_sub|atomic_sub_and_test|atomic_sub_return|atomic_sub_return_acquire|atomic_sub_return_relaxed|atomic_sub_return_release|atomic_try_cmpxchg|atomic_try_cmpxchg_acquire|atomic_try_cmpxchg_relaxed|atomic_try_cmpxchg_release|atomic_xor|cmpxchg|cmpxchg64_local|cmpxchg_acquire|cmpxchg_local|cmpxchg_relaxed|cmpxchg_release|refcount_add|refcount_add_not_zero|refcount_dec|refcount_dec_and_test|refcount_inc|refcount_inc_not_zero|refcount_sub_and_test"
"cas","non","no","atomic64_cmpxchg_relaxed|atomic64_try_cmpxchg_relaxed|atomic_cmpxchg_relaxed|atomic_long_cmpxchg_relaxed|atomic_long_try_cmpxchg_relaxed|atomic_try_cmpxchg_relaxed|cmpxchg64_local|cmpxchg_local|cmpxchg_relaxed|refcount_add_not_zero|refcount_inc_not_zero"
"ldadd","non","no","atomic64_add_return_relaxed|atomic64_dec_return_relaxed|atomic64_fetch_add_relaxed|atomic64_fetch_dec_relaxed|atomic64_fetch_inc_relaxed|atomic64_fetch_sub_relaxed|atomic64_inc_return_relaxed|atomic64_sub_return_relaxed|atomic_add_return_relaxed|atomic_fetch_add_relaxed|atomic_fetch_dec_relaxed|atomic_fetch_inc_relaxed|atomic_fetch_sub_relaxed|atomic_inc_return_relaxed|atomic_long_add_return_relaxed|atomic_long_dec_return_relaxed|atomic_long_fetch_add_relaxed|atomic_long_fetch_dec_relaxed|atomic_long_fetch_inc_relaxed|atomic_long_fetch_sub_relaxed|atomic_long_inc_return_relaxed|atomic_long_sub_return_relaxed|refcount_add|refcount_inc"
"ldclr","non","no","atomic64_fetch_and_relaxed|atomic64_fetch_andnot_relaxed|atomic_fetch_and_relaxed|atomic_fetch_andnot_relaxed|atomic_long_fetch_and_relaxed|atomic_long_fetch_andnot_relaxed"
"ldeor","non","no","atomic64_fetch_xor_relaxed|atomic_fetch_xor_relaxed|atomic_long_fetch_xor_relaxed"
"ldset","non","no","atomic64_fetch_or_relaxed|atomic_fetch_or_relaxed|atomic_long_fetch_or_relaxed"
"ldxp + stxp","non","no","cmpxchg64_double_local|cmpxchg_double_local"
"ldxr + stxr","non","no","atomic64_add|atomic64_add_return_relaxed|atomic64_and|atomic64_andnot|atomic64_cmpxchg_relaxed|atomic64_fetch_add_relaxed|atomic64_fetch_and_relaxed|atomic64_fetch_andnot_relaxed|atomic64_fetch_or_relaxed|atomic64_fetch_sub_relaxed|atomic64_fetch_xor_relaxed|atomic64_or|atomic64_sub|atomic64_sub_return_relaxed|atomic64_try_cmpxchg_relaxed|atomic64_xchg_relaxed|atomic64_xor|atomic_add|atomic_add_return_relaxed|atomic_and|atomic_andnot|atomic_cmpxchg_relaxed|atomic_fetch_add_relaxed|atomic_fetch_and_relaxed|atomic_fetch_andnot_relaxed|atomic_fetch_or_relaxed|atomic_fetch_sub_relaxed|atomic_fetch_xor_relaxed|atomic_long_cmpxchg_relaxed|atomic_long_try_cmpxchg_relaxed|atomic_long_xchg_relaxed|atomic_or|atomic_sub|atomic_sub_return_relaxed|atomic_try_cmpxchg_relaxed|atomic_xchg_relaxed|atomic_xor|cmpxchg64_local|cmpxchg_local|cmpxchg_relaxed|refcount_add_not_zero|refcount_inc_not_zero|xchg_relaxed"
"sevl","non","no","smp_cond_load_acquire|smp_cond_load_relaxed"
"stadd","non","no","atomic64_add|atomic64_dec|atomic64_inc|atomic64_sub|atomic_add|atomic_dec|atomic_inc|atomic_long_add|atomic_long_dec|atomic_long_inc|atomic_long_sub|atomic_sub"
"stclr","non","no","atomic64_and|atomic64_andnot|atomic_and|atomic_andnot|atomic_long_and|atomic_long_andnot"
"steor","non","no","atomic64_xor|atomic_long_xor|atomic_xor"
"stset","non","no","atomic64_or|atomic_long_or|atomic_or"
